lc-chi-0,lc-chi-1,lc-chi-2,lc-chi-3,lc-Z-0,lc-Z-1,lc-Z-2,lc-Z-3,lc-I-0,lc-I-1,lc-I-2,lc-I-3,lc-T-0,lc-T-1,lc-T-2,lc-T-3,lc-S-0,lc-S-1,lc-S-2,lc-S-3,lc-alpha-0,lc-alpha-1,lc-alpha-2,lc-alpha-3,D_lc-chi-0,D_lc-chi-1,D_lc-chi-2,D_lc-chi-3,D_lc-Z-0,D_lc-Z-1,D_lc-Z-2,D_lc-Z-3,D_lc-I-0,D_lc-I-1,D_lc-I-2,D_lc-I-3,D_lc-T-0,D_lc-T-1,D_lc-T-2,D_lc-T-3,D_lc-S-0,D_lc-S-1,D_lc-S-2,D_lc-S-3,D_lc-alpha-0,D_lc-alpha-1,D_lc-alpha-2,D_lc-alpha-3,func-chi-0,func-chi-1,func-chi-2,func-chi-3,func-Z-0,func-Z-1,func-Z-2,func-Z-3,func-I-0,func-I-1,func-I-2,func-I-3,func-T-0,func-T-1,func-T-2,func-T-3,func-S-0,func-S-1,func-S-2,func-S-3,func-alpha-0,func-alpha-1,func-alpha-2,func-alpha-3,D_func-chi-0,D_func-chi-1,D_func-chi-2,D_func-chi-3,D_func-Z-0,D_func-Z-1,D_func-Z-2,D_func-Z-3,D_func-I-0,D_func-I-1,D_func-I-2,D_func-I-3,D_func-T-0,D_func-T-1,D_func-T-2,D_func-T-3,D_func-S-0,D_func-S-1,D_func-S-2,D_func-S-3,D_func-alpha-0,D_func-alpha-1,D_func-alpha-2,D_func-alpha-3,name
10.7968,11.464799999999999,24.936799999999998,25.679839999999995,58.0,62.4,123.2,126.8,1.0,1.4,2.8,2.8,2.2,6.6,9.6,7.8,0.54474,0.7992600000000001,1.455,1.44576,38.758,102.83,154.92904560000002,137.6310456,0.0,0.9260000000000002,1.262,0.9860000000000001,0.0,2.0,4.4,3.8,0.0,0.0,0.0,0.0,0.0,-2.0,-1.6,-1.0,0.0,-0.040000000000000036,0.11199999999999996,0.12399999999999997,0.0,-6.7200000000000015,-5.562844,-3.582844,11.833599999999999,8.771999999999998,20.605599999999995,19.229599999999998,64.0,48.0,112.0,104.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,5.0,0.5328999999999999,0.5621,1.095,1.1096,28.09,59.89,87.98,99.11,0.0,0.8900000000000001,0.8900000000000001,1.29,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-3.0,0.0,-0.040000000000000036,-0.040000000000000036,-0.06000000000000005,0.0,-6.000000000000001,-6.000000000000001,-8.100000000000001,ABEXIQ_clean
11.833599999999999,8.771999999999998,20.605599999999995,23.667199999999998,64.0,48.0,112.0,128.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,2.0,0.5328999999999999,0.5621,1.095,1.0657999999999999,28.09,59.89,87.98,56.18,0.0,0.8900000000000001,0.8900000000000001,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,0.0,0.0,-0.040000000000000036,-0.040000000000000036,0.0,0.0,-6.000000000000001,-6.000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABEXIQ_clean
10.9696,11.015999999999998,24.21493333333333,24.604799999999997,59.0,60.0,121.33333333333333,123.0,1.0,1.3333333333333333,2.6666666666666665,2.6666666666666665,2.0,6.0,8.666666666666666,7.333333333333333,0.5427666666666666,0.7597333333333335,1.3949999999999998,1.3897333333333333,36.98,95.67333333333333,143.77087133333336,131.21087133333333,0.0,0.9200000000000003,1.2000000000000002,1.0366666666666668,0.0,2.0,4.0,3.6666666666666665,0.0,0.0,0.0,0.0,0.0,-2.0,-1.6666666666666667,-1.3333333333333333,0.0,-0.040000000000000036,0.08666666666666663,0.09333333333333331,0.0,-6.6000000000000005,-5.635703333333335,-4.335703333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABEXIQ_clean
10.9696,11.015999999999998,24.21493333333333,24.604799999999997,59.0,60.0,121.33333333333333,123.0,1.0,1.3333333333333333,2.6666666666666665,2.6666666666666665,2.0,6.0,8.666666666666666,7.333333333333333,0.5427666666666666,0.7597333333333335,1.3949999999999998,1.3897333333333333,36.980000000000004,95.67333333333333,143.77087133333336,131.21087133333333,0.0,0.9200000000000003,1.2000000000000002,1.0366666666666668,0.0,2.0,4.0,3.6666666666666665,0.0,0.0,0.0,0.0,0.0,-2.0,-1.6666666666666667,-1.3333333333333333,0.0,-0.040000000000000036,0.08666666666666663,0.09333333333333331,0.0,-6.6000000000000005,-5.635703333333335,-4.335703333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABEXIQ_clean
10.7968,11.464799999999999,24.936799999999998,25.679839999999995,58.0,62.4,123.2,126.8,1.0,1.4,2.8,2.8,2.2,6.6,9.6,7.8,0.54474,0.7992600000000001,1.4549999999999998,1.44576,38.758,102.83,154.92904560000002,137.6310456,0.0,0.9260000000000002,1.262,0.9860000000000001,0.0,2.0,4.4,3.8,0.0,0.0,0.0,0.0,0.0,-2.0,-1.6,-1.0,0.0,-0.040000000000000036,0.11199999999999996,0.12399999999999997,0.0,-6.720000000000001,-5.562844,-3.582844,11.833599999999999,8.771999999999998,20.605599999999995,19.229599999999998,64.0,48.0,112.0,104.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,5.0,0.5328999999999999,0.5621,1.095,1.1096,28.09,59.89,87.98,99.11,0.0,0.8900000000000001,0.8900000000000001,1.29,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-3.0,0.0,-0.040000000000000036,-0.040000000000000036,-0.06000000000000005,0.0,-6.000000000000001,-6.000000000000001,-8.100000000000001,ABEXIQ_clean
10.7968,11.464799999999999,24.936799999999998,25.679839999999995,58.0,62.4,123.2,126.8,1.0,1.4,2.8,2.8,2.2,6.6,9.6,7.8,0.54474,0.7992600000000001,1.455,1.44576,38.758,102.83,154.92904560000002,137.6310456,0.0,0.9260000000000002,1.262,0.9860000000000001,0.0,2.0,4.4,3.8,0.0,0.0,0.0,0.0,0.0,-2.0,-1.6,-1.0,0.0,-0.040000000000000036,0.11199999999999996,0.12399999999999997,0.0,-6.7200000000000015,-5.562844,-3.582844,11.833599999999999,8.771999999999998,20.605599999999995,19.229599999999998,64.0,48.0,112.0,104.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,5.0,0.5328999999999999,0.5621,1.095,1.1096,28.09,59.89,87.98,99.11,0.0,0.8900000000000001,0.8900000000000001,1.29,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-3.0,0.0,-0.040000000000000036,-0.040000000000000036,-0.06000000000000005,0.0,-6.000000000000001,-6.000000000000001,-8.100000000000001,ABEXIQ_clean
11.833599999999999,8.771999999999998,20.605599999999995,23.667199999999998,64.0,48.0,112.0,128.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,2.0,0.5328999999999999,0.5621,1.095,1.0657999999999999,28.09,59.89,87.98,56.18,0.0,0.8900000000000001,0.8900000000000001,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,0.0,0.0,-0.040000000000000036,-0.040000000000000036,0.0,0.0,-6.000000000000001,-6.000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABEXIQ_clean
10.9696,11.015999999999998,24.21493333333333,24.604799999999997,59.0,60.0,121.33333333333333,123.0,1.0,1.3333333333333333,2.6666666666666665,2.6666666666666665,2.0,6.0,8.666666666666666,7.333333333333333,0.5427666666666666,0.7597333333333335,1.3949999999999998,1.3897333333333333,36.98,95.67333333333333,143.77087133333336,131.21087133333333,0.0,0.9200000000000003,1.2000000000000002,1.0366666666666668,0.0,2.0,4.0,3.6666666666666665,0.0,0.0,0.0,0.0,0.0,-2.0,-1.6666666666666667,-1.3333333333333333,0.0,-0.040000000000000036,0.08666666666666663,0.09333333333333331,0.0,-6.6000000000000005,-5.635703333333335,-4.335703333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABEXIQ_clean
10.9696,11.015999999999998,24.21493333333333,24.604799999999997,59.0,60.0,121.33333333333333,123.0,1.0,1.3333333333333333,2.6666666666666665,2.6666666666666665,2.0,6.0,8.666666666666666,7.333333333333333,0.5427666666666666,0.7597333333333335,1.3949999999999998,1.3897333333333333,36.98,95.67333333333333,143.77087133333336,131.21087133333333,0.0,0.9200000000000003,1.2000000000000002,1.0366666666666668,0.0,2.0,4.0,3.6666666666666665,0.0,0.0,0.0,0.0,0.0,-2.0,-1.6666666666666667,-1.3333333333333333,0.0,-0.040000000000000036,0.08666666666666663,0.09333333333333331,0.0,-6.6000000000000005,-5.635703333333335,-4.335703333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABEXIQ_clean
10.7968,11.464799999999999,24.936799999999998,25.679840000000002,58.0,62.4,123.2,126.8,1.0,1.4,2.8,2.8,2.2,6.6,9.6,7.8,0.54474,0.7992600000000001,1.4549999999999998,1.44576,38.758,102.83,154.92904560000002,137.63104560000002,0.0,0.9260000000000002,1.2620000000000005,0.9860000000000001,0.0,2.0,4.4,3.8,0.0,0.0,0.0,0.0,0.0,-2.0,-1.6,-1.0,0.0,-0.040000000000000036,0.11199999999999996,0.12399999999999997,0.0,-6.720000000000001,-5.562844,-3.582844,11.833599999999999,8.771999999999998,20.605599999999995,19.229599999999998,64.0,48.0,112.0,104.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,5.0,0.5328999999999999,0.5621,1.095,1.1096,28.09,59.89,87.98,99.11,0.0,0.8900000000000001,0.8900000000000001,1.29,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-3.0,0.0,-0.040000000000000036,-0.040000000000000036,-0.06000000000000005,0.0,-6.000000000000001,-6.000000000000001,-8.100000000000001,ABEXIQ_clean
11.833599999999999,8.771999999999998,20.605599999999995,23.667199999999998,64.0,48.0,112.0,128.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,2.0,0.5328999999999999,0.5621,1.095,1.0657999999999999,28.09,59.89,87.98,56.18,0.0,0.8900000000000001,0.8900000000000001,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,0.0,0.0,-0.040000000000000036,-0.040000000000000036,0.0,0.0,-6.000000000000001,-6.000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABEXIQ_clean
10.9696,11.015999999999998,24.21493333333333,24.6048,59.0,60.0,121.33333333333333,123.0,1.0,1.3333333333333333,2.6666666666666665,2.6666666666666665,2.0,6.0,8.666666666666666,7.333333333333333,0.5427666666666666,0.7597333333333335,1.3949999999999998,1.3897333333333333,36.980000000000004,95.67333333333333,143.77087133333336,131.21087133333333,0.0,0.9200000000000003,1.2000000000000002,1.0366666666666668,0.0,2.0,4.0,3.6666666666666665,0.0,0.0,0.0,0.0,0.0,-2.0,-1.6666666666666667,-1.3333333333333333,0.0,-0.040000000000000036,0.08666666666666663,0.09333333333333331,0.0,-6.6000000000000005,-5.635703333333335,-4.335703333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABEXIQ_clean
